lat_bin,lon_bin,safety_score,total_businesses,lat,lon,bank_atm,restaurant_takeout,coffee_shop,convenience_store,24_7_pharmacy,gas_station,grocery_store,gym_late
26,21,9,3,43.71250000000006,-79.5325000000001,0,2,1,0,0,0,0,0
18,17,19,6,43.67250000000004,-79.55250000000008,0,3,1,1,0,1,0,0
17,58,9,3,43.66750000000004,-79.34750000000027,0,2,1,0,0,0,0,0
36,71,21,6,43.76250000000009,-79.28250000000033,0,3,0,1,0,2,0,0
28,67,9,3,43.72250000000007,-79.30250000000031,0,2,1,0,0,0,0,0
29,32,8,3,43.72750000000007,-79.47750000000015,0,1,1,1,0,0,0,0
47,80,8,3,43.817500000000116,-79.23750000000037,0,1,1,1,0,0,0,0
40,41,2,1,43.7825000000001,-79.43250000000019,0,0,0,1,0,0,0,0
19,18,24,6,43.677500000000045,-79.54750000000008,1,2,0,1,0,2,0,0
11,14,20,6,43.637500000000024,-79.56750000000007,0,3,0,1,0,1,1,0
29,68,30,8,43.72750000000007,-79.29750000000031,1,3,1,1,0,2,0,0
21,64,5,2,43.68750000000005,-79.3175000000003,0,1,0,1,0,0,0,0
40,77,11,4,43.7825000000001,-79.25250000000035,0,2,1,1,0,0,0,0
41,42,0,0,43.7875000000001,-79.4275000000002,0,0,0,0,0,0,0,0
33,38,31,9,43.74750000000008,-79.44750000000018,1,4,1,1,0,0,1,1
34,3,5,2,43.75250000000008,-79.62250000000002,0,0,1,1,0,0,0,0
25,34,6,2,43.70750000000006,-79.46750000000016,0,1,1,0,0,0,0,0
39,81,28,7,43.777500000000096,-79.23250000000037,1,1,1,1,0,2,1,0
44,47,9,3,43.80250000000011,-79.40250000000022,0,2,1,0,0,0,0,0
22,28,3,1,43.69250000000005,-79.49750000000013,0,0,1,0,0,0,0,0
14,24,22,6,43.65250000000003,-79.51750000000011,0,2,0,1,0,2,1,0
32,78,31,8,43.74250000000008,-79.24750000000036,1,2,1,1,0,2,1,0
51,91,8,3,43.83750000000013,-79.18250000000042,0,1,1,1,0,0,0,0
24,74,28,8,43.70250000000006,-79.26750000000034,0,3,1,1,0,2,1,0
43,87,8,3,43.797500000000106,-79.2025000000004,0,1,1,1,0,0,0,0
35,83,24,6,43.757500000000086,-79.22250000000038,1,2,0,1,0,2,0,0
36,48,42,12,43.76250000000009,-79.39750000000022,2,3,3,2,0,0,1,1
15,25,13,4,43.657500000000034,-79.51250000000012,0,1,1,1,0,1,0,0
7,21,5,2,43.617500000000014,-79.5325000000001,0,1,0,1,0,0,0,0
18,30,0,0,43.67250000000004,-79.48750000000014,0,0,0,0,0,0,0,0
30,4,6,2,43.73250000000007,-79.61750000000002,0,2,0,0,0,0,0,0
36,84,21,6,43.76250000000009,-79.21750000000038,0,3,0,1,0,2,0,0
28,80,22,6,43.72250000000007,-79.23750000000037,1,3,0,1,0,1,0,0
29,45,6,2,43.72750000000007,-79.41250000000021,0,2,0,0,0,0,0,0
21,41,8,3,43.68750000000005,-79.43250000000019,0,2,0,1,0,0,0,0
40,54,9,3,43.7825000000001,-79.36750000000025,0,2,1,0,0,0,0,0
33,15,8,3,43.74750000000008,-79.56250000000007,0,2,0,1,0,0,0,0
10,31,5,2,43.63250000000002,-79.48250000000014,0,1,0,1,0,0,0,0
42,100,8,3,43.7925000000001,-79.13750000000046,0,2,0,1,0,0,0,0
34,16,2,1,43.75250000000008,-79.55750000000008,0,0,0,1,0,0,0,0
25,47,32,9,43.70750000000006,-79.40250000000022,2,3,3,1,0,0,0,0
39,94,9,3,43.777500000000096,-79.16750000000043,0,2,1,0,0,0,0,0
37,21,2,1,43.76750000000009,-79.5325000000001,0,0,0,1,0,0,0,0
32,55,8,3,43.74250000000008,-79.36250000000025,0,2,0,1,0,0,0,0
43,64,6,2,43.797500000000106,-79.3175000000003,0,2,0,0,0,0,0,0
3,28,8,3,43.597500000000004,-79.49750000000013,0,2,0,1,0,0,0,0
35,60,6,2,43.757500000000086,-79.33750000000028,0,1,1,0,0,0,0,0
14,37,8,3,43.65250000000003,-79.45250000000017,0,2,0,1,0,0,0,0
26,11,8,3,43.71250000000006,-79.58250000000005,0,2,0,1,0,0,0,0
17,48,55,16,43.66750000000004,-79.39750000000022,2,7,4,1,0,0,1,1
36,61,6,2,43.76250000000009,-79.33250000000028,0,2,0,0,0,0,0,0
29,22,3,1,43.72750000000007,-79.5275000000001,0,0,1,0,0,0,0,0
47,70,8,3,43.817500000000116,-79.28750000000032,0,2,0,1,0,0,0,0
21,18,26,7,43.68750000000005,-79.54750000000008,1,2,1,1,0,1,1,0
40,31,2,1,43.7825000000001,-79.48250000000014,0,0,0,1,0,0,0,0
50,81,6,2,43.832500000000124,-79.23250000000037,0,1,1,0,0,0,0,0
33,28,5,2,43.74750000000008,-79.49750000000013,0,1,0,1,0,0,0,0
25,24,2,1,43.70750000000006,-79.51750000000011,0,0,0,1,0,0,0,0
39,71,14,4,43.777500000000096,-79.28250000000033,0,1,0,1,0,1,1,0
31,67,3,1,43.737500000000075,-79.30250000000031,0,0,1,0,0,0,0,0
10,44,0,0,43.63250000000002,-79.4175000000002,0,0,0,0,0,0,0,0
22,18,27,7,43.69250000000005,-79.54750000000008,1,3,0,1,0,2,0,0
14,14,28,8,43.65250000000003,-79.56750000000007,0,3,1,1,0,2,1,0
13,55,78,19,43.64750000000003,-79.36250000000025,4,6,4,1,1,0,1,2
32,68,25,7,43.74250000000008,-79.29750000000031,0,2,1,1,0,2,1,0
51,81,9,3,43.83750000000013,-79.23250000000037,0,2,1,0,0,0,0,0
24,64,0,0,43.70250000000006,-79.3175000000003,0,0,0,0,0,0,0,0
43,77,0,0,43.797500000000106,-79.25250000000035,0,0,0,0,0,0,0,0
16,60,8,3,43.66250000000004,-79.33750000000028,0,1,1,1,0,0,0,0
36,38,31,9,43.76250000000009,-79.44750000000018,2,4,1,2,0,0,0,0
28,34,6,2,43.72250000000007,-79.46750000000016,0,1,1,0,0,0,0,0
6,15,8,3,43.61250000000001,-79.56250000000007,0,1,1,1,0,0,0,0
38,84,25,7,43.77250000000009,-79.21750000000038,1,3,1,1,0,1,0,0
17,61,6,2,43.66750000000004,-79.33250000000028,0,2,0,0,0,0,0,0
29,35,6,2,43.72750000000007,-79.46250000000016,0,1,1,0,0,0,0,0
21,31,8,3,43.68750000000005,-79.48250000000014,0,1,1,1,0,0,0,0
40,44,8,3,43.7825000000001,-79.4175000000002,0,2,0,1,0,0,0,0
27,74,21,5,43.717500000000065,-79.26750000000034,1,1,0,1,0,2,0,0
33,5,6,2,43.74750000000008,-79.61250000000003,0,1,1,0,0,0,0,0
39,48,38,12,43.777500000000096,-79.39750000000022,1,5,3,2,0,0,1,0
10,21,24,7,43.63250000000002,-79.5325000000001,0,3,1,1,0,2,0,0
42,90,2,1,43.7925000000001,-79.18750000000041,0,0,0,1,0,0,0,0
34,6,11,4,43.75250000000008,-79.60750000000003,0,2,1,1,0,0,0,0
20,71,2,1,43.68250000000005,-79.28250000000033,0,0,0,1,0,0,0,0
39,84,13,4,43.777500000000096,-79.21750000000038,0,1,1,1,0,1,0,0
13,32,6,2,43.64750000000003,-79.47750000000015,0,1,1,0,0,0,0,0
31,80,20,6,43.737500000000075,-79.23750000000037,0,2,1,1,0,1,1,0
32,45,39,10,43.74250000000008,-79.41250000000021,2,2,2,1,0,1,1,1
23,76,2,1,43.697500000000055,-79.25750000000035,0,0,0,1,0,0,0,0
24,41,6,2,43.70250000000006,-79.43250000000019,0,2,0,0,0,0,0,0
43,54,0,0,43.797500000000106,-79.36750000000025,0,0,0,0,0,0,0,0
16,37,11,4,43.66250000000004,-79.45250000000017,0,2,1,1,0,0,0,0
3,18,6,2,43.597500000000004,-79.54750000000008,0,1,1,0,0,0,0,0
35,50,51,14,43.757500000000086,-79.38750000000023,2,5,3,1,0,1,1,1
36,15,5,2,43.76250000000009,-79.56250000000007,0,1,0,1,0,0,0,0
34,91,3,1,43.75250000000008,-79.18250000000042,0,1,0,0,0,0,0,0
5,27,2,1,43.60750000000001,-79.50250000000013,0,0,0,1,0,0,0,0
37,96,8,3,43.76750000000009,-79.15750000000044,0,1,1,1,0,0,0,0
17,38,5,2,43.66750000000004,-79.44750000000018,0,1,0,1,0,0,0,0
36,51,23,7,43.76250000000009,-79.38250000000023,1,2,1,2,0,0,1,0
28,47,6,2,43.72250000000007,-79.40250000000022,0,2,0,0,0,0,0,0
29,12,5,2,43.72750000000007,-79.57750000000006,0,0,1,1,0,0,0,0
21,8,23,7,43.68750000000005,-79.59750000000004,0,3,1,1,0,1,1,0
6,28,8,3,43.61250000000001,-79.49750000000013,0,1,1,1,0,0,0,0
42,67,3,1,43.7925000000001,-79.30250000000031,0,1,0,0,0,0,0,0
33,18,6,2,43.74750000000008,-79.54750000000008,0,1,1,0,0,0,0,0
25,14,9,3,43.70750000000006,-79.56750000000007,0,2,1,0,0,0,0,0
20,48,35,10,43.68250000000005,-79.39750000000022,2,2,3,2,0,0,0,1
39,61,3,1,43.777500000000096,-79.33250000000028,0,0,1,0,0,0,0,0
12,44,9,3,43.64250000000003,-79.4175000000002,0,2,1,0,0,0,0,0
31,57,5,2,43.737500000000075,-79.35250000000026,0,0,1,1,0,0,0,0
32,22,5,2,43.74250000000008,-79.5275000000001,0,1,0,1,0,0,0,0
23,53,3,1,43.697500000000055,-79.37250000000024,0,0,1,0,0,0,0,0
22,8,21,5,43.69250000000005,-79.59750000000004,1,1,0,1,0,2,0,0
13,45,3,1,43.64750000000003,-79.41250000000021,0,0,1,0,0,0,0,0
32,58,8,3,43.74250000000008,-79.34750000000027,0,2,0,1,0,0,0,0
24,54,3,1,43.70250000000006,-79.36750000000025,0,0,1,0,0,0,0,0
